panel,M,C,on_A_final,on_B_final,off_A_final,off_B_final,d_on_max_pp,d_on_final_pp,d_off_max_pp,d_off_final_pp,spec_A_final,spec_B_final,spec_pct_final,spec_log2_final,depletion_pct,sequestration_pct,min_Cfree,timing_pct,spearman_off,ranking_inversions,nan_inf,min_cleaved,gpu,gpu_time_s,flag_on_1pp,flag_on_5pp,flag_spec,flag_depletion,flag_timing,flag_ranking
CONTROLLED_STRESS,1000,10.0,1.0,1.0,0.6874789509539818,0.6867086185018568,1.2136933209818568,0.0,0.585005131766958,-0.07703324521249888,1.4545899894257024,1.4562217118814853,0.11217748421505529,0.0016174719516149814,3.531610538721952,3.5316105396400297,9.646838946127804,3.3089114312918673,0.999199985556699,0,False,-4.924065941619759e-09,True,52.42388105392456,True,False,False,False,False,False
CONTROLLED_STRESS,1000,30.0,1.0,1.0,0.7344763106421511,0.734026258790007,0.890411855538531,0.0,0.40979649430157306,-0.04500518521440844,1.3615143000654992,1.3623490822345654,0.06131277277259676,0.0008842852700068566,2.774926515802678,2.7749265164393297,29.167522045259197,2.21016016023996,0.9999986038142351,0,False,-1.45923288896557e-08,True,53.226428508758545,False,False,False,False,False,False
CONTROLLED_STRESS,1000,100.0,1.0,1.0,0.7694907082256608,0.7693425495809105,0.5026750995748785,0.0,0.20589300036181202,-0.014815864475026252,1.2995608514943113,1.2998111186537613,0.019257825377089116,0.0002778049429616426,1.79271757658086,1.792717576775054,98.20728242341914,1.087129769858566,0.999999133401939,0,False,-3.4069572599049364e-08,True,52.24213194847107,False,False,False,False,False,False
CONTROLLED_STRESS,10000,0.1,0.9997217270025255,0.9972803797532768,0.5265647284873971,0.5108685568290041,13.882745100612192,-0.24413472492487154,6.694341363237993,-1.5696171658392988,1.8985732862746323,1.9521271497731467,2.8207424957278975,0.04013133532029948,33.21998897643637,33.21998897686066,0.06678001102356364,46.08340719987204,0.9999995090287185,0,False,-4.2610581861053964e-11,True,50.63429522514343,True,True,False,True,True,False
CONTROLLED_STRESS,10000,0.3,1.0,0.9999999999999857,0.569457665532061,0.5596899664126911,13.794966303529188,-1.432187701766452e-12,6.65809564528303,-0.9767699119369921,1.7560567896893875,1.7867034608600476,1.7451981821193527,0.024960708768562913,32.98560520347842,32.9856052113493,0.20104318438956473,46.23022427498485,0.969958990525978,0,False,-1.3468034630929746e-10,True,52.187113523483276,True,True,False,True,True,False
CONTROLLED_STRESS,10000,1.0,1.0,1.0,0.6046858289989749,0.598665643106208,13.53951187220721,0.0,6.525337343574877,-0.6020185892766983,1.653751340020309,1.67038147505806,1.0056006991677853,0.01443529175819156,32.32434290650884,32.32434299697079,0.6767565709349116,45.05332370575522,0.9842936164670678,0,False,-5.593477672363655e-10,True,55.832629442214966,True,True,False,True,True,False
CONTROLLED_STRESS,10000,3.0,1.0,1.0,0.6367802739650268,0.6297871638208039,12.86712492366906,0.0,6.1723321943628395,-0.699311014422288,1.5704004047922997,1.5878380148804472,1.1103926129236235,0.01593129200409265,30.921896898628955,30.92189760743626,2.0723430930411313,42.0951619770775,0.9937915011265079,0,False,-1.6965330187833662e-09,True,55.79076623916626,True,True,False,True,True,False
CONTROLLED_STRESS,10000,10.0,1.0,1.0,0.6875742735895438,0.6802756067548656,11.117666860369335,0.0,5.279102925430534,-0.7298666834678169,1.4543883307005583,1.4699924414001158,1.0728985079267284,0.015396207629298206,27.87099563782458,27.870998589532046,7.212900436217542,34.6751981183251,0.9848846292990971,0,False,-5.183960352203911e-09,True,55.56477093696594,True,True,False,True,True,False
CONTROLLED_STRESS,10000,30.0,1.0,1.0,0.7343810682509047,0.7298365639363341,8.56178049521381,0.0,3.8889687176321797,-0.4544504314570541,1.3616908758015311,1.3701697741822962,0.6226742450461044,0.00895543769766891,23.46158792636154,23.46159162283122,22.961523622091537,24.020428688429647,0.9987888590979522,0,False,-1.3548332490729931e-08,True,58.08602237701416,True,True,False,True,True,False
CONTROLLED_STRESS,10000,100.0,1.0,1.0,0.7705599735414252,0.7689699053677899,5.061325768884162,0.0,2.0505501439984974,-0.1590068173635384,1.2977575196422297,1.3004410094832133,0.2067789860868053,0.002980110117889384,16.591606226528043,16.59160821820006,83.40839377347196,11.549226199296214,0.9997091628346672,0,False,-4.014658774978445e-08,True,58.96068596839905,True,True,False,True,True,False
DEFENSIBLE,1,0.1,0.9997217270025255,0.9997217261718746,0.0,0.0,8.347253693807843e-05,-8.306508814115432e-08,0.0,0.0,999721727002.5255,999721726171.8746,-8.308820909562482e-08,-1.1987095446908452e-09,0.0003400332323377775,0.0003400332323570206,0.09999965996676767,0.00024539119842041277,nan,0,False,-1.36807845108581e-16,True,46.43237662315369,False,False,False,False,False,False
DEFENSIBLE,1,0.3,1.0,1.0,0.0,0.0,8.343827151979788e-05,0.0,0.0,0.0,1000000000000.0,1000000000000.0,0.0,0.0,0.00033978430616921074,0.00033978430623861003,0.29999898064708147,0.0002427701169801087,nan,0,False,0.0,True,45.547298192977905,False,False,False,False,False,False
DEFENSIBLE,1,1.0,1.0,1.0,0.0,0.0,8.329836485021502e-05,0.0,0.0,0.0,1000000000000.0,1000000000000.0,0.0,0.0,0.0003390213706211398,0.00033902137078538173,0.9999966097862938,0.00023714087683230001,nan,0,False,-1.36807845108581e-16,True,46.15175914764404,False,False,False,False,False,False
DEFENSIBLE,1,3.0,1.0,1.0,0.0,0.0,8.328780050081974e-05,0.0,0.0,0.0,1000000000000.0,1000000000000.0,0.0,0.0,0.000337176145970286,0.0003371761462690651,2.999989884715621,0.00023424334929168908,nan,0,False,0.0,True,8.11493968963623,False,False,False,False,False,False
DEFENSIBLE,1,10.0,1.0,1.0,0.0,0.0,8.307780182126301e-05,0.0,0.0,0.0,1000000000000.0,1000000000000.0,0.0,0.0,0.00033202189509973223,0.0003320218958924729,9.99996679781049,0.0002470976918407256,nan,0,False,0.0,True,4.967044830322266,False,False,False,False,False,False
DEFENSIBLE,1,30.0,1.0,1.0,0.0,0.0,8.218008048510583e-05,0.0,0.0,0.0,1000000000000.0,1000000000000.0,0.0,0.0,0.0003207020455198162,0.0003207020469551532,29.999903789386344,0.00023571564319582657,nan,0,False,0.0,True,4.6890106201171875,False,False,False,False,False,False
DEFENSIBLE,1,100.0,1.0,1.0,0.0,0.0,7.916539032093439e-05,0.0,0.0,0.0,1000000000000.0,1000000000000.0,0.0,0.0,0.0002935178256224802,0.000293517828144902,99.99970648217437,0.0002038403761171097,nan,0,False,0.0,True,4.75969934463501,False,False,False,False,False,False
DEFENSIBLE,10,0.1,0.9997217270025255,0.9997207517027132,7.15915558621955e-05,7.156280413314607e-05,0.014856471716495623,-9.752998122447565e-05,2.875172904943132e-06,-2.875172904943132e-06,13964.240628638105,13969.83740146413,0.04007932099471088,0.0005781065335630258,0.04051030553515744,0.040510310095069446,0.09995948969446485,0.04105395210432116,1.0,0,False,-2.7610832915504035e-11,True,4.9245123863220215,False,False,False,False,False,False
DEFENSIBLE,10,0.3,1.0,1.0,0.0002142698649831407,0.00021418417871997425,0.014808759757845014,0.0,8.568626316644845e-06,-8.568626316644845e-06,4667.011833006339,4668.878912099887,0.040005878715455113,0.0005770474095433669,0.04044742000306467,0.04044743182604906,0.2998786577399908,0.040619179234066535,1.0,0,False,-1.2307261107536968e-10,True,13.845596075057983,False,False,False,False,False,False
DEFENSIBLE,10,1.0,1.0,1.0,0.0007084045633937382,0.0007081253182753158,0.014670966542318364,0.0,2.7924511842236047e-05,-2.7924511842236047e-05,1411.6227509852552,1412.1794162414417,0.039434420832195,0.0005688062883861543,0.040231121657263724,0.04023115516178792,0.9995976887834274,0.039246854230105044,1.0,0,False,-2.362382820472015e-10,True,46.6055793762207,False,False,False,False,False,False
DEFENSIBLE,10,3.0,1.0,1.0,0.0020767720504254548,0.0020759839080488726,0.014302979939706528,0.0,7.881423765821426e-05,-7.881423765821426e-05,481.5164954254946,481.6993020230862,0.037964763269440004,0.0005476118137853392,0.039633086062185185,0.039633168984263084,2.9988110074181344,0.03758362344486103,1.0,0,False,-9.116116882573936e-10,True,45.46647000312805,False,False,False,False,False,False
DEFENSIBLE,10,10.0,1.0,1.0,0.006410463297558965,0.006408322534630012,0.013081664413439054,0.0,0.00021407629289529537,-0.00021407629289529537,155.99496532876088,156.04707697529903,0.03340597975602925,0.00048186593176324024,0.03770270329045422,0.03770291172490949,9.996229729670954,0.03568673809383621,1.0,0,False,-3.0192265617171654e-09,True,45.19839668273926,False,False,False,False,False,False
DEFENSIBLE,10,30.0,1.0,1.0,0.01586725192888117,0.0158634207293796,0.01050896507909238,0.0,0.0003831199501567323,-0.0003831199501567323,63.022885400640966,63.03810615606554,0.02415115608847858,0.000348385463340365,0.03317874215539307,0.03317907204163576,29.990046377353384,0.025921909960571667,1.0,0,False,-5.488809273459362e-09,True,45.89291763305664,False,False,False,False,False,False
DEFENSIBLE,10,100.0,1.0,1.0,0.03274337714464477,0.0327399515642517,0.006131400931852493,0.0,0.00034255803930752227,-0.00034255803930752227,30.54052718972548,30.543722644395803,0.010462997742218018,0.00015094125320293998,0.023491427104604945,0.023491772682798708,99.9765085728954,0.011834780126070657,1.0,0,False,-1.9306279323212517e-08,True,29.547215700149536,False,False,False,False,False,False
